Parameter,Value
Learning rate (alpha),0.001
Discount factor (gamma),0.95
Number of meta iterations,1
Number of tasks,3
Number of episodes per task,2



Task name,FIND_KEY
Initial state,find_key_0.txt
Number of successes,0
Number of failures,2

Episode index,Steps,Result,Total reward
0,1.0000000000000007,-1,-89.65000000000002
1,1.0000000000000007,-1,-59.60000000000003



Task name,FIND_DOOR
Initial state,find_door_0.txt
Number of successes,0
Number of failures,2

Episode index,Steps,Result,Total reward
0,1.0000000000000007,-1,-66.89000000000003
1,1.0000000000000007,-1,-59.60000000000003



Task name,KILL_ENEMIES
Initial state,find_enemies_0.txt
Number of successes,0
Number of failures,2

Episode index,Steps,Result,Total reward
0,0.38000000000000017,-1,-4.49
1,1.0000000000000007,-1,-70.47000000000003



