TAREA: ZELDA_CL_REPTILE


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos
1,-22,100.0
2,-1,100.0
3,-2,100.0
4,-22,100.0
5,-42,100.0
6,-1,100.0
7,-2,100.0
8,-12,100.0
9,9,100.0
10,-21,100.0

Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos
1,-878,100.0
2,-938,100.0
3,-837,100.0
4,-898,100.0
5,-917,100.0
6,-938,100.0
7,-917,100.0
8,-918,100.0
9,-848,100.0
10,-939,100.0

Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos
1,-27,100.0
2,-18,100.0
3,-27,100.0
4,-29,100.0
5,0,100.0
6,-39,100.0
7,-49,100.0
8,-26,100.0
9,-25,100.0
10,-8,100.0

Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos
1,10,100.0
2,9,100.0
3,211,100.0
4,1,100.0
5,10,100.0
6,2,100.0
7,9,100.0
8,-2,100.0
9,0,100.0
10,0,100.0

Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos
1,-26,100.0
2,-6,100.0
3,-6,100.0
4,-26,100.0
5,-36,100.0
6,-45,100.0
7,-6,100.0
8,-46,100.0
9,-36,100.0
10,-26,100.0

