Parameter,Value
Learning rate (alpha),0.001
Discount factor (gamma),0.95
Number of meta iterations,1
Number of tasks,3
Number of episodes per task,5



Task name,FIND_KEY
Initial state,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1]"
Number of successes,0
Number of failures,5

Episode index,Steps,Result
0,500,-1
1,501,-1
2,502,-1
3,503,-1
4,504,-1



Task name,FIND_DOOR
Initial state,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 4, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]"
Number of successes,5
Number of failures,0

Episode index,Steps,Result
0,133,1
1,134,1
2,135,1
3,136,1
4,137,1



Task name,KILL_ENEMIES
Initial state,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]"
Number of successes,0
Number of failures,5

Episode index,Steps,Result
0,30,-1
1,31,-1
2,32,-1
3,33,-1
4,34,-1



