Parameter,Value
Learning rate (alpha),0.001
Discount factor (gamma),0.95
Number of meta iterations,1
Number of tasks,3
Number of episodes per task,5



Task name,FIND_KEY
Initial state,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1]"
Number of successes,2
Number of failures,3

Episode index,Steps,Result
0,440,1
1,318,1
2,500,-1
3,500,-1
4,500,-1



Task name,FIND_DOOR
Initial state,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 4, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]"
Number of successes,2
Number of failures,3

Episode index,Steps,Result
0,13,1
1,5,1
2,500,-1
3,500,-1
4,500,-1



Task name,KILL_ENEMIES
Initial state,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]"
Number of successes,0
Number of failures,5

Episode index,Steps,Result
0,42,-1
1,222,-1
2,247,-1
3,500,-1
4,500,-1



