TAREA: ZELDA_SIMPLE


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos
1,-271,100.0
2,6,100.0
3,-1000,90.0
4,-661,100.0
5,0,100.0
6,0,100.0
7,5,100.0
8,-631,100.0
9,-1000,45.0
10,7,100.0

Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos
1,-890,100.0
2,-890,100.0
3,-890,100.0
4,-890,100.0
5,-890,100.0
6,-890,100.0
7,-890,100.0
8,-890,100.0
9,-890,100.0
10,-890,100.0

Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos
1,-39,100.0
2,-39,100.0
3,-29,100.0
4,-39,100.0
5,-49,100.0
6,-49,100.0
7,-20,100.0
8,-69,100.0
9,-69,100.0
10,-69,100.0

Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos
1,-923,100.0
2,-923,100.0
3,-923,100.0
4,-923,100.0
5,-923,100.0
6,-923,100.0
7,-923,100.0
8,-923,100.0
9,-923,100.0
10,-923,100.0

Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos
1,-1000,9.0
2,-1000,9.0
3,-1000,9.0
4,-1000,9.0
5,-1000,9.0
6,-1000,9.0
7,-1000,9.0
8,-1000,9.0
9,-1000,9.0
10,-1000,9.0

