TAREA: ZELDA_REPTILE


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos
1,-1000,22.0
2,-1000,75.0
3,-1000,28.0
4,-1000,60.0
5,-1000,8.0
6,-1000,8.0
7,-1000,7.0
8,-1000,38.0
9,-1000,9.0
10,-1000,8.0

Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos
1,25,100.0
2,-1000,10.0
3,17,100.0
4,-1000,62.0
5,-1000,8.0
6,218,100.0
7,-1000,83.0
8,-1000,61.0
9,-1000,9.0
10,-1000,56.0

Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos
1,38,100.0
2,-1000,46.0
3,-1000,4.0
4,-1000,4.0
5,15,100.0
6,-1000,4.0
7,-1000,10.0
8,-1000,4.0
9,-1000,89.0
10,-1000,4.0

Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos
1,-1000,9.0
2,-1000,26.0
3,-1000,36.0
4,-1000,44.0
5,-1000,7.0
6,-1000,8.0
7,-1000,8.0
8,-1000,8.0
9,-1000,8.0
10,-1000,52.0

Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos
1,-1000,18.0
2,-1000,23.0
3,-1000,20.0
4,-1000,24.0
5,-1000,48.0
6,-1000,21.0
7,-1000,31.0
8,-1000,21.0
9,-1000,62.0
10,-1000,7.0

